cols,importance,model_name,model_target
order_time_15,0.03511348245826607,RandomFores,y_weekday
order_time_19,0.035101858197514484,RandomFores,y_weekday
order_time_20,0.0343577190534544,RandomFores,y_weekday
order_time_17,0.0336720604397536,RandomFores,y_weekday
order_time_11,0.03326400708205835,RandomFores,y_weekday
order_time_13,0.03317497270581026,RandomFores,y_weekday
order_time_21,0.03304394060709288,RandomFores,y_weekday
order_time_14,0.032572857963394417,RandomFores,y_weekday
order_time_18,0.03110287048822079,RandomFores,y_weekday
order_time_12,0.030453978585823833,RandomFores,y_weekday
store_前橋店,0.0009455755297217259,RandomFores,y_weekday
store_港北店,0.000941483701431854,RandomFores,y_weekday
store_木更津店,0.0009347558264740273,RandomFores,y_weekday
store_東尾久店,0.0009335061787111318,RandomFores,y_weekday
store_久喜店,0.0008814940849138166,RandomFores,y_weekday
store_八千代店,0.0008752612478141698,RandomFores,y_weekday
store_高崎店,0.0008201591947632857,RandomFores,y_weekday
store_つくば店,0.0008193789947981117,RandomFores,y_weekday
store_池尻店,0.0008009594493002141,RandomFores,y_weekday
store_保土ケ谷店,0.0007973025394282326,RandomFores,y_weekday
store_町田店,0.0007831346333459102,RandomFores,y_weekday
store_熊谷店,0.0007808814952633235,RandomFores,y_weekday
store_逗子店,0.0007769731669012713,RandomFores,y_weekday
store_大塚店,0.000765349267079025,RandomFores,y_weekday
store_金沢店,0.0007463653971080173,RandomFores,y_weekday
store_磯子店,0.0007452399426384357,RandomFores,y_weekday
store_西東京店,0.0007429440928617083,RandomFores,y_weekday
store_六本木店,0.0007173933060701294,RandomFores,y_weekday
store_西葛西店,0.0007144922712784328,RandomFores,y_weekday
store_浅草店,0.0007064390686415069,RandomFores,y_weekday
store_武蔵村山店,0.0006943488419668612,RandomFores,y_weekday
store_葛飾店,0.0006889180855001741,RandomFores,y_weekday
store_さいたま緑店,0.000683375999466474,RandomFores,y_weekday
store_東大和店,0.000669838395318326,RandomFores,y_weekday
store_小田原店,0.000667969226883797,RandomFores,y_weekday
store_墨田店,0.0006637672414905188,RandomFores,y_weekday
store_千葉中央店,0.000658974532131249,RandomFores,y_weekday
store_狛江店,0.0006540719114307592,RandomFores,y_weekday
store_横浜南店,0.0006532606899691932,RandomFores,y_weekday
store_川口店,0.0006411063776714421,RandomFores,y_weekday
store_武蔵野店,0.0006404724268346149,RandomFores,y_weekday
store_銀座店,0.000636338573004109,RandomFores,y_weekday
store_坂戸店,0.0006309258779920115,RandomFores,y_weekday
store_柏店,0.0006264524996501905,RandomFores,y_weekday
store_取手店,0.0006221520382021867,RandomFores,y_weekday
store_横浜緑店,0.0006217969461115927,RandomFores,y_weekday
store_石神井店,0.0006140866007911971,RandomFores,y_weekday
store_船橋店,0.0006070095909911735,RandomFores,y_weekday
store_港南店,0.0006068421649606349,RandomFores,y_weekday
store_日立店,0.0006032969472305474,RandomFores,y_weekday
store_東中野店,0.0005860254902470979,RandomFores,y_weekday
store_大井店,0.0005803165969661252,RandomFores,y_weekday
store_昭島店,0.0005777377070288327,RandomFores,y_weekday
store_大和店,0.0005745762574580583,RandomFores,y_weekday
store_五反田店,0.0005703906634346338,RandomFores,y_weekday
store_鴻巣店,0.000566915112634332,RandomFores,y_weekday
store_我孫子店,0.0005653310037570115,RandomFores,y_weekday
store_九段店,0.0005648275949491491,RandomFores,y_weekday
store_高島平店,0.0005600529297853659,RandomFores,y_weekday
store_茅ヶ崎店,0.0005583977953413389,RandomFores,y_weekday
store_東松山店,0.000556945446616524,RandomFores,y_weekday
store_愛甲店,0.0005556701946476256,RandomFores,y_weekday
store_横須賀店,0.0005539738490543173,RandomFores,y_weekday
store_赤羽店,0.0005523227083380701,RandomFores,y_weekday
store_足立店,0.0005515789768958925,RandomFores,y_weekday
store_成城店,0.0005507600633036907,RandomFores,y_weekday
store_蒲田店,0.0005466274441124294,RandomFores,y_weekday
store_高田馬場店,0.0005418851335993926,RandomFores,y_weekday
store_藤沢店,0.0005366416942076053,RandomFores,y_weekday
store_成田店,0.000535088191665816,RandomFores,y_weekday
store_高座店,0.0005342167880473215,RandomFores,y_weekday
store_東久留米店,0.000533415613431812,RandomFores,y_weekday
store_大泉店,0.0005333135161926332,RandomFores,y_weekday
store_さいたま西店,0.0005313945629646014,RandomFores,y_weekday
store_新宿店,0.0005270798359891907,RandomFores,y_weekday
store_赤坂店,0.0005249395594638405,RandomFores,y_weekday
store_さいたま南店,0.0005238122626353907,RandomFores,y_weekday
store_品川店,0.0005230962644411013,RandomFores,y_weekday
store_君津店,0.0005179444804539536,RandomFores,y_weekday
store_小山店,0.0005169532788180088,RandomFores,y_weekday
store_杉並店,0.0005131812170857198,RandomFores,y_weekday
store_福生店,0.0005128205746276793,RandomFores,y_weekday
store_海老名店,0.0005082511363922658,RandomFores,y_weekday
store_相模原店,0.0005053878212113731,RandomFores,y_weekday
store_羽村店,0.0005041518021130398,RandomFores,y_weekday
store_渋谷店,0.0005003777749030508,RandomFores,y_weekday
store_恵比寿店,0.000499329165459634,RandomFores,y_weekday
store_駒沢店,0.0004961517969635186,RandomFores,y_weekday
store_高円寺店,0.000494323749769584,RandomFores,y_weekday
store_神田店,0.0004941412326151407,RandomFores,y_weekday
store_羽生店,0.0004931224866475902,RandomFores,y_weekday
store_小金井店,0.0004896811649713031,RandomFores,y_weekday
store_三鷹店,0.0004890671581635352,RandomFores,y_weekday
store_茂原店,0.00048744277846900566,RandomFores,y_weekday
store_浦和店,0.00048490976268026167,RandomFores,y_weekday
store_大田店,0.00047914951115143623,RandomFores,y_weekday
store_北千住店,0.00047604452736111,RandomFores,y_weekday
store_大森店,0.0004759785806273697,RandomFores,y_weekday
store_川越店,0.0004758040963872039,RandomFores,y_weekday
store_東村山店,0.00047484214746402044,RandomFores,y_weekday
store_志木店,0.0004737440345018715,RandomFores,y_weekday
store_宇都宮店,0.0004713240281387568,RandomFores,y_weekday
store_駒込店,0.0004712317124829757,RandomFores,y_weekday
store_流山店,0.00047081260345893406,RandomFores,y_weekday
store_府中店,0.0004706564924612432,RandomFores,y_weekday
store_調布店,0.0004669211477076164,RandomFores,y_weekday
store_川崎多摩店,0.00046448875207770164,RandomFores,y_weekday
store_多摩店,0.00046346624335886474,RandomFores,y_weekday
store_足柄上店,0.00046201309077147074,RandomFores,y_weekday
store_入間店,0.000461424651744219,RandomFores,y_weekday
store_亀有店,0.00045369086122977643,RandomFores,y_weekday
store_板橋店,0.0004522913344487598,RandomFores,y_weekday
store_越谷店,0.000449422665667173,RandomFores,y_weekday
store_向島店,0.00044773317307974505,RandomFores,y_weekday
store_西多摩店,0.00044427875016700083,RandomFores,y_weekday
store_座間店,0.00043880508145725886,RandomFores,y_weekday
store_代々木店,0.00043876550033963054,RandomFores,y_weekday
store_秦野店,0.0004385273083478147,RandomFores,y_weekday
store_神奈川店,0.0004355687137455086,RandomFores,y_weekday
store_南足柄店,0.00043543623194017826,RandomFores,y_weekday
store_中原店,0.0004354254006227522,RandomFores,y_weekday
store_松戸店,0.00043352759500455193,RandomFores,y_weekday
store_自由が丘店,0.0004334396877810437,RandomFores,y_weekday
store_王子店,0.00043086807314095146,RandomFores,y_weekday
store_本庄店,0.00042893757581452177,RandomFores,y_weekday
store_青梅店,0.0004277870897990423,RandomFores,y_weekday
store_鎌倉店,0.00042388773425176514,RandomFores,y_weekday
store_小平店,0.0004212623996953878,RandomFores,y_weekday
store_国立店,0.0004204507328907167,RandomFores,y_weekday
store_中野店,0.0004138694381978746,RandomFores,y_weekday
store_浦安店,0.0004133889061052036,RandomFores,y_weekday
store_巣鴨店,0.0004083089913341701,RandomFores,y_weekday
store_荻窪店,0.0004056465340289421,RandomFores,y_weekday
store_日本橋店,0.0004056272405314804,RandomFores,y_weekday
store_四街道店,0.00040473795708523627,RandomFores,y_weekday
store_瀬谷店,0.0004035766093816019,RandomFores,y_weekday
store_谷中店,0.00040354604629744094,RandomFores,y_weekday
store_那珂店,0.00039975624773207186,RandomFores,y_weekday
store_市川店,0.00039821428025141076,RandomFores,y_weekday
store_栃木店,0.0003941631532235204,RandomFores,y_weekday
store_稲城店,0.0003925704847392668,RandomFores,y_weekday
store_立川店,0.00039248634619945544,RandomFores,y_weekday
store_桐生店,0.00038864706952546334,RandomFores,y_weekday
store_伊勢崎店,0.0003786365189484241,RandomFores,y_weekday
store_伊勢原店,0.0003726923430913054,RandomFores,y_weekday
store_八王子店,0.0003682637898061604,RandomFores,y_weekday
store_荒川店,0.00036638464297003613,RandomFores,y_weekday
store_足利店,0.0003657408262595101,RandomFores,y_weekday
store_都筑店,0.00036063407438028815,RandomFores,y_weekday
store_鶴見店,0.000359014116691007,RandomFores,y_weekday
store_高津店,0.0003581461577351034,RandomFores,y_weekday
store_所沢店,0.00035584364524687405,RandomFores,y_weekday
store_戸田店,0.0003554246667840042,RandomFores,y_weekday
store_幸店,0.0003542124615339601,RandomFores,y_weekday
store_日野店,0.00035216652184446326,RandomFores,y_weekday
store_市原店,0.00034627346728410965,RandomFores,y_weekday
store_上野店,0.0003462080168524907,RandomFores,y_weekday
store_草加店,0.0003449522515854574,RandomFores,y_weekday
store_国分寺店,0.0003383019968238761,RandomFores,y_weekday
store_狭山店,0.0003377143779862807,RandomFores,y_weekday
store_白井店,0.00033756890327833245,RandomFores,y_weekday
store_南砂店,0.0003340518770532247,RandomFores,y_weekday
store_太田店,0.00033058623796767455,RandomFores,y_weekday
store_水戸店,0.00032996991179286126,RandomFores,y_weekday
store_池袋店,0.00032365549367231093,RandomFores,y_weekday
store_栄店,0.0003220542058286777,RandomFores,y_weekday
store_厚木店,0.00032164731250987317,RandomFores,y_weekday
store_館林店,0.0003161514791133912,RandomFores,y_weekday
store_泉店,0.0003153669702725448,RandomFores,y_weekday
store_和光店,0.0003149625478447438,RandomFores,y_weekday
store_佐野店,0.0003129406583576238,RandomFores,y_weekday
store_大宮店,0.0003115700801364204,RandomFores,y_weekday
store_大久保店,0.00031135212072349683,RandomFores,y_weekday
store_春日部店,0.0003102914854204844,RandomFores,y_weekday
store_目黒店,0.00029937144257586505,RandomFores,y_weekday
store_旭店,0.0002986054054846617,RandomFores,y_weekday
store_上尾店,0.00029832224669761693,RandomFores,y_weekday
store_習志野店,0.00029513907282742793,RandomFores,y_weekday
store_清瀬店,0.00028368288807877485,RandomFores,y_weekday
store_富里店,0.0002820903532366471,RandomFores,y_weekday
store_若葉店,0.0002813896366729155,RandomFores,y_weekday
store_新座店,0.00027585367767744384,RandomFores,y_weekday
store_青山店,0.0002754844139186564,RandomFores,y_weekday
store_八潮店,0.0002753373446973926,RandomFores,y_weekday
store_戸塚店,0.0002743011994078921,RandomFores,y_weekday
store_本郷店,0.00026450614197496354,RandomFores,y_weekday
store_守谷店,0.0002596361727968606,RandomFores,y_weekday
store_川崎店,0.00024817290867147493,RandomFores,y_weekday
store_千葉緑店,0.00024789417617326626,RandomFores,y_weekday
store_行田店,0.00024595816890515685,RandomFores,y_weekday
store_佐倉店,0.00024563116759781324,RandomFores,y_weekday
store_平塚店,0.00024319128346105963,RandomFores,y_weekday
store_江東店,0.00023955279796433166,RandomFores,y_weekday
store_富津店,0.00023491157457746932,RandomFores,y_weekday
store_富岡店,0.00023435875734333848,RandomFores,y_weekday
store_江戸川店,0.00022709063991581808,RandomFores,y_weekday
store_三浦店,0.0002170721004467713,RandomFores,y_weekday
store_青葉店,0.00018412813493631381,RandomFores,y_weekday
store_中店,0.0001640592165063722,RandomFores,y_weekday
store_綾瀬店,0.00015806794749088804,RandomFores,y_weekday
store_世田谷店,0.0001488952206950097,RandomFores,y_weekday
store_練馬店,0.0001471338133072242,RandomFores,y_weekday
store_あきる野店,0.00014397206193721265,RandomFores,y_weekday
store_宮前店,9.426275375584137e-05,RandomFores,y_weekday
order_weekend,0.43990421223539,GradientBoosting,y_weekday
order_weekday,0.400410808107504,GradientBoosting,y_weekday
order,0.03428915290316682,GradientBoosting,y_weekday
delta_avg,0.018742176292726696,GradientBoosting,y_weekday
order_time_21,0.01167102221439404,GradientBoosting,y_weekday
order_time_19,0.010382025696177794,GradientBoosting,y_weekday
order_cancel,0.010279521118981016,GradientBoosting,y_weekday
order_time_16,0.008270543675845362,GradientBoosting,y_weekday
order_takeout,0.007284389579383839,GradientBoosting,y_weekday
order_time_13,0.006901126829064373,GradientBoosting,y_weekday
order_time_11,0.006318961418445448,GradientBoosting,y_weekday
order_time_20,0.005677379024621277,GradientBoosting,y_weekday
order_time_12,0.005206423216701078,GradientBoosting,y_weekday
order_time_17,0.00502167124018072,GradientBoosting,y_weekday
order_time_14,0.004668534226792029,GradientBoosting,y_weekday
order_fin,0.004557066856337948,GradientBoosting,y_weekday
order_time_18,0.00400015086749248,GradientBoosting,y_weekday
order_delivery,0.002769991378227726,GradientBoosting,y_weekday
order_time_15,0.0016519265407761074,GradientBoosting,y_weekday
store_羽村店,0.0014647751039854467,GradientBoosting,y_weekday
store_秦野店,0.0010347031426612041,GradientBoosting,y_weekday
store_青山店,0.0009052019380456706,GradientBoosting,y_weekday
store_武蔵野店,0.0008643730794883814,GradientBoosting,y_weekday
store_北千住店,0.0008564546484988709,GradientBoosting,y_weekday
store_九段店,0.0007396161830830597,GradientBoosting,y_weekday
store_東大和店,0.0006507299222897351,GradientBoosting,y_weekday
store_中原店,0.0005667495630940984,GradientBoosting,y_weekday
store_駒沢店,0.0004872262229698895,GradientBoosting,y_weekday
store_川口店,0.00046769911247656666,GradientBoosting,y_weekday
store_蒲田店,0.0004596871946589309,GradientBoosting,y_weekday
store_亀有店,0.0004490224349927588,GradientBoosting,y_weekday
store_逗子店,0.0004318052350077002,GradientBoosting,y_weekday
store_大塚店,0.0004140259020504636,GradientBoosting,y_weekday
store_大和店,0.0004135594389377116,GradientBoosting,y_weekday
store_池尻店,0.00037899584839242383,GradientBoosting,y_weekday
store_八王子店,0.0003739301483405289,GradientBoosting,y_weekday
store_座間店,0.0003398871012941985,GradientBoosting,y_weekday
store_杉並店,0.0003090119614561442,GradientBoosting,y_weekday
store_本庄店,0.00023054545098194788,GradientBoosting,y_weekday
store_浦和店,0.00015422903941741904,GradientBoosting,y_weekday
store_銀座店,6.8790566792833e-07,GradientBoosting,y_weekday
store_柏店,0.0,GradientBoosting,y_weekday
store_王子店,0.0,GradientBoosting,y_weekday
store_瀬谷店,0.0,GradientBoosting,y_weekday
store_熊谷店,0.0,GradientBoosting,y_weekday
store_狛江店,0.0,GradientBoosting,y_weekday
store_狭山店,0.0,GradientBoosting,y_weekday
store_神田店,0.0,GradientBoosting,y_weekday
store_町田店,0.0,GradientBoosting,y_weekday
store_石神井店,0.0,GradientBoosting,y_weekday
store_白井店,0.0,GradientBoosting,y_weekday
store_目黒店,0.0,GradientBoosting,y_weekday
store_神奈川店,0.0,GradientBoosting,y_weekday
store_相模原店,0.0,GradientBoosting,y_weekday
store_磯子店,0.0,GradientBoosting,y_weekday
store_港南店,0.0,GradientBoosting,y_weekday
store_栃木店,0.0,GradientBoosting,y_weekday
store_港北店,0.0,GradientBoosting,y_weekday
store_江戸川店,0.0,GradientBoosting,y_weekday
store_桐生店,0.0,GradientBoosting,y_weekday
store_横浜南店,0.0,GradientBoosting,y_weekday
store_横浜緑店,0.0,GradientBoosting,y_weekday
store_横須賀店,0.0,GradientBoosting,y_weekday
store_武蔵村山店,0.0,GradientBoosting,y_weekday
store_水戸店,0.0,GradientBoosting,y_weekday
store_福生店,0.0,GradientBoosting,y_weekday
store_江東店,0.0,GradientBoosting,y_weekday
store_渋谷店,0.0,GradientBoosting,y_weekday
store_池袋店,0.0,GradientBoosting,y_weekday
store_泉店,0.0,GradientBoosting,y_weekday
store_浅草店,0.0,GradientBoosting,y_weekday
store_栄店,0.0,GradientBoosting,y_weekday
store_浦安店,0.0,GradientBoosting,y_weekday
store_海老名店,0.0,GradientBoosting,y_weekday
store_清瀬店,0.0,GradientBoosting,y_weekday
store_流山店,0.0,GradientBoosting,y_weekday
store_草加店,0.0,GradientBoosting,y_weekday
store_稲城店,0.0,GradientBoosting,y_weekday
store_立川店,0.0,GradientBoosting,y_weekday
store_越谷店,0.0,GradientBoosting,y_weekday
store_足利店,0.0,GradientBoosting,y_weekday
store_足柄上店,0.0,GradientBoosting,y_weekday
store_足立店,0.0,GradientBoosting,y_weekday
store_那珂店,0.0,GradientBoosting,y_weekday
store_都筑店,0.0,GradientBoosting,y_weekday
store_金沢店,0.0,GradientBoosting,y_weekday
store_鎌倉店,0.0,GradientBoosting,y_weekday
store_青梅店,0.0,GradientBoosting,y_weekday
store_青葉店,0.0,GradientBoosting,y_weekday
store_館林店,0.0,GradientBoosting,y_weekday
store_駒込店,0.0,GradientBoosting,y_weekday
store_高円寺店,0.0,GradientBoosting,y_weekday
store_高島平店,0.0,GradientBoosting,y_weekday
store_高崎店,0.0,GradientBoosting,y_weekday
store_高座店,0.0,GradientBoosting,y_weekday
store_高津店,0.0,GradientBoosting,y_weekday
store_高田馬場店,0.0,GradientBoosting,y_weekday
store_鴻巣店,0.0,GradientBoosting,y_weekday
store_赤羽店,0.0,GradientBoosting,y_weekday
store_赤坂店,0.0,GradientBoosting,y_weekday
store_谷中店,0.0,GradientBoosting,y_weekday
store_茅ヶ崎店,0.0,GradientBoosting,y_weekday
store_綾瀬店,0.0,GradientBoosting,y_weekday
store_練馬店,0.0,GradientBoosting,y_weekday
store_羽生店,0.0,GradientBoosting,y_weekday
store_習志野店,0.0,GradientBoosting,y_weekday
store_自由が丘店,0.0,GradientBoosting,y_weekday
store_船橋店,0.0,GradientBoosting,y_weekday
store_若葉店,0.0,GradientBoosting,y_weekday
store_茂原店,0.0,GradientBoosting,y_weekday
store_松戸店,0.0,GradientBoosting,y_weekday
store_調布店,0.0,GradientBoosting,y_weekday
store_荒川店,0.0,GradientBoosting,y_weekday
store_荻窪店,0.0,GradientBoosting,y_weekday
store_葛飾店,0.0,GradientBoosting,y_weekday
store_藤沢店,0.0,GradientBoosting,y_weekday
store_行田店,0.0,GradientBoosting,y_weekday
store_西多摩店,0.0,GradientBoosting,y_weekday
store_西東京店,0.0,GradientBoosting,y_weekday
